sign,site,n_words,init_obs,init_p,init_sig,final_obs,final_p,final_sig
WA,Knossos,61,0,1.0,0,2,0.66533,0
WA,Palaikastro,57,0,1.0,0,0,1.0,0
WA,Phaistos,58,1,0.45155,0,1,0.43257,0
WA,Syme,21,0,1.0,0,0,1.0,0
WA,Tylissos,21,0,1.0,0,1,0.44456,0
WA,Zakros,132,1,0.73626,0,0,1.0,0
ZA,Arkhalkhori,34,1,0.33067,0,0,1.0,0
ZA,Haghia Triada,694,0,1.0,0,9,0.003,1
ZA,Iouktas,34,0,1.0,0,0,1.0,0
ZA,Khania,120,0,1.0,0,4,0.01998,1
ZA,Knossos,61,0,1.0,0,1,0.64336,0
ZA,Palaikastro,57,0,1.0,0,1,0.55944,0
ZA,Phaistos,58,0,1.0,0,0,1.0,0
ZA,Syme,21,0,1.0,0,1,0.24975,0
ZA,Tylissos,21,1,0.4955,0,0,1.0,0
ZA,Zakros,132,0,1.0,0,3,0.58541,0
