source_file,doc_id,locus,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,anomaly,is_kuro
HTtexts,HT 104,.1-2,DA-KU-SE-NE-TI,,45,J,0,0,0,0,0
HTtexts,HT 104,.2-3,I-DU-TI,,20,J,0,0,0,0,0
HTtexts,HT 104,.3-4,PA-DA-SU-TI,,29,,0,0,0,0,0
HTtexts,HT 104,.5,KU-RO,,95,,0,0,0,0,1
HTtexts,HT 105,.2,VIR,,234,,0,1,0,0,0
HTtexts,HT 105,.3,SA-RA2,VIR,235,,0,0,0,0,0
HTtexts,HT 106,.1,MI-NU-TE,*303,6,,0,1,0,0,0
HTtexts,HT 106,.2,SI,,5,J,0,0,0,0,0
HTtexts,HT 106,.2,SI,,1,,0,0,0,0,0
HTtexts,HT 106,.3,DA-,,8,,0,1,0,0,0
HTtexts,HT 106,.4,SI,,3,,0,1,0,0,0
HTtexts,HT 107,.1,,,3,,0,1,0,0,0
HTtexts,HT 107,.3,TE,,86,,0,0,0,0,0
HTtexts,HT 107,.3,*332,,7,,0,0,0,0,0
HTtexts,HT 108,.1,KI-RE-TA-NA,VIR,1,,0,0,0,0,0
HTtexts,HT 108,.1,GRA+H *583,,70,,0,0,0,0,0
HTtexts,HT 108,.2,DI-NA-RO,,2,,0,0,0,0,0
HTtexts,HT 108,.2,DU-SU-NI,,5,,0,1,0,0,0
misctexts,HT 108,.2,,,3,B,0,0,0,0,0
HTtexts,HT 108,.3,-RA2-TI,,10,,0,1,0,0,0
misctexts,HT 108,.3,A-*325-ZA,,,E,0,0,0,0,0
misctexts,HT 108,.3,A-RI-PA,,,E,0,0,0,0,0
misctexts,HT 108,.3-4,QA-QA-DA,,,J,0,0,0,0,0
misctexts,HT 108,.4,TO-ME,,1,B,0,0,0,0,0
HTtexts,HT 109,.1,RE,,4,,0,1,0,0,0
HTtexts,HT 109,.2,TA,,4,,0,1,0,0,0
HTtexts,HT 109,.3,KU-RO,,129,,0,0,0,0,1
HTtexts,HT 109,.4,A-RA-JU,,123,,0,0,0,0,0
HTtexts,HT 10a.1,a.2,I-RU-JA,,3,,0,0,0,0,0
HTtexts,HT 10a.1,a.3,DU-JA,,4,,0,0,0,0,0
HTtexts,HT 10a.1,a.4,TA-NA-TI,,1,,0,0,0,0,0
HTtexts,HT 10a.1,a.4-5,DA-RE,,1,,0,0,0,0,0
HTtexts,HT 10a.1,a.5,TE-TU,,1,,0,0,0,0,0
HTtexts,HT 10a.1,b.1,QIf-TU-NE,,1,,0,0,0,0,0
HTtexts,HT 10a.1,b.2,DA-RU-*329,,2,,0,0,0,0,0
HTtexts,HT 110,a.1,SI-DU-*34-KU-MI,*303+E *626,20,,0,0,0,0,0
HTtexts,HT 110,a.2,KU-PA,,1,,0,0,0,0,0
HTtexts,HT 110,a.3,KU-RO,,100,,0,1,0,0,1
HTtexts,HT 110,a.4,FIC,,15,,0,1,0,0,0
HTtexts,HT 110,a.5,,,60,,0,1,0,0,0
HTtexts,HT 110,b.1,-RO,,20,,0,1,1,0,0
HTtexts,HT 110,b.1-2,*400VAS+RI *648,,3,,0,1,0,0,0
HTtexts,HT 110,b.2,,,1,,0,1,0,0,0
HTtexts,HT 110,b.2,MA,,5,J,0,0,0,0,0
HTtexts,HT 110,b.4,,,2,,0,1,0,0,0
HTtexts,HT 110,b.4,FIC,,1,J,0,1,0,0,0
HTtexts,HT 110,b.5,,,1,,0,1,0,0,0
HTtexts,HT 110,b.5,MA,,2,,0,0,0,0,0
HTtexts,HT 110,b.5,*301,,,JE,0,0,0,0,0
HTtexts,HT 111,a.2,QE-KA,,8,,0,1,0,0,0
HTtexts,HT 111,a.3,QA-QA-RU,,8,,0,1,0,0,0
HTtexts,HT 111,a.3,DI,,14,,0,1,0,0,0
HTtexts,HT 111,b.1,,,18,,0,1,0,0,0
HTtexts,HT 111,b.1,SA-DI,,4,,0,1,0,0,0
HTtexts,HT 111,b.2,,,3,,0,1,0,0,0
HTtexts,HT 111,b.3,FIC,,1,,0,1,0,0,0
HTtexts,HT 112,b.1,*303,,6,,0,1,0,0,0
HTtexts,HT 113,.2-3,WI-SA,,2,,0,1,0,0,0
HTtexts,HT 113,.3,O,,2,J,0,0,0,0,0
HTtexts,HT 114,a.1-2,SA-RA2,GRA,10,,0,0,0,0,0
HTtexts,HT 114,a.2,OLE,,7,,0,0,0,0,0
HTtexts,HT 114,a.3,FIC,,1,,0,0,0,0,0
HTtexts,HT 114,a.3,VINa,,1,,0,0,0,0,0
HTtexts,HT 114,a.3-4,BOSm,,3,,0,0,0,0,0
HTtexts,HT 114,b.1,SA VINa *522,,9,,0,0,0,0,0
HTtexts,HT 115,a.1-2,RI-TA-MA-NU-WI,,2,,0,0,0,0,0
HTtexts,HT 115,a.2-3,NA-QIf-NE-MI-NA,,1,,0,0,0,0,0
HTtexts,HT 115,a.3,SE-KU-TU,,,J,0,0,0,0,0
