rank	type	freq
237	KA-RA	7
238	PE-KO-TO	7
239	A-ZE-TI-RI-JA	7
240	PO-KI-RO-NU-KA	7
241	A-MI-NI-SI-JA	7
242	RE-U-KO	7
243	JO-JO	7
244	KO-NO-SI-JA	7
245	WE-KE	7
246	O-PE	7
247	KO-RU	7
248	SI-TO	7
249	E-NE-KA	7
250	E-RE-TA	7
251	KE-RA	7
252	MA-RO	7
253	QA-NA-NO-TO	7
254	PI-RI	7
255	RO-O-WA	7
256	PA-KI-JA-SI	7
257	A-PI-A2-RO	7
258	A-KE-O	7
259	TA-WE-SI-JO-JO	7
260	TO-NO	7
261	KO-TU-RO2	7
262	A-KE-E	7
263	KO-TO-NA-O	7
264	O-NA-TA	7
265	PA-KI-JA-NA	7
266	WE-TE-RE-U	7
267	E-KO-TO	7
268	O-NA-TE-RE	7
269	TA-RA2-TO	7
270	A-PI-QO-TO	7
271	KA-SI	7
272	I-QO-PO-QO-I	7
273	A-PU-WA	7
274	E-PE-TO-I	7
275	QE-RA-SI-JA	6
276	A-MI-NI-SO-DE	6
277	MA-SA	6
278	A-NU-KO	6
279	KO-NO-SI-JO	6
280	A-TO-MO	6
281	QO-TA	6
282	A-KO-RA-JA	6
283	KU-RE-WE	6
284	A-KE	6
285	I-JE-RO	6
286	QA-RA-JO	6
287	TE-RA-PO-SI-JO	6
288	PO-PO	6
289	O-NA	6
290	RI-TA	6
291	A-RO2-A	6
292	E-TA-WO-NE	6
293	E-NI-QE	6
294	KU-RO2	6
295	TA-DE-SO	6
296	NI-JO	6
297	RE-U	6
298	WA-NA-KA-TE	6
299	QE-RO2	6
300	TO-MI-KA	6
301	RI-ZO	6
302	PO-SI	6
303	KU-RU-SO	6
304	A-NO-WO-TO	6
305	PO-RO	6
306	A-PI-ME-DE-O	6
307	MA-RI	6
308	KA-KE-U	6
309	PA-NA-RE-JO	6
310	SU-KI-RI-TA	6
311	WE-E-WI-JA	6
312	PE-KO	6
313	A-RA-RU-JA	6
314	WI-RI-NI-JO	6
315	A-NI-JA	6
316	O-DA-TWE-TA	6
317	O-PA-WO-TA	6
318	KE-RE-ZA	6
319	RI-NE-JA-O	6
320	PU-KA-WO	6
321	A-E-RI-QO	6
322	A-PU2-WE	6
323	DO-QE-JA	6
324	RU-KO-RO	6
325	O-A-KE-RE-SE	6
326	WA-NO-JO	6
327	RA-WA-RA-TI-JO	6
328	SU-QO-TA-O	6
329	ME-RI-TE-WO	6
330	A3-TI-JO-QO	6
331	KE-KE-ME-NA-O	6
332	PA-DA-JE-WE	6
333	A3-TI-JO-QE	6
334	RU-*83-E	6
335	E-RA3-WO	6
336	WA-NA-SO-I	6
337	DO-RO-JO	6
338	KU-TE-SE-JO	6
339	WA-DO-TA	6
340	ME-TO-RE-I	6
341	MI-RA-TI-JO	6
342	DE-U-KE-WE	6
343	O-U-KO-WE-I	6
344	SA-SA-MA	6
345	U-PA-TA-RO	6
346	NO-DI-ZO	6
347	PA-DE	5
348	ME-NA	5
349	DI-KA-TA-DE	5
350	KI-TO	5
351	PU-NA-SI-JO	5
352	E-ME-SI-JO-JO	5
353	RO-RU	5
354	A-KA-I-JO	5
355	WA-NA-KA	5
356	WA-TU	5
357	PA-NA-SO	5
358	DA-WI-JA	5
359	PA-PA-RO	5
360	KA-RO-QO	5
361	TO-RO-QA	5
362	DO-KE	5
363	KU-TA-TI-JO	5
364	DA-WI-JO	5
365	E-TE-DO-MO	5
366	PU-RI	5
367	KU-PA-RO	5
368	TO-U-KA	5
369	E-U-KO-RO	5
370	MI-RU-RO	5
371	TI-RI	5
372	E-RA-JA	5
373	A-RA-KA-TE-JA	5
374	DA-TE-WE-JA	5
375	DA-*22-TI-JA	5
376	E-RU-TA-RA-PI	5
377	O-RE-NE-JA	5
378	E-TE	5
379	AU-RI-JO	5
380	TA-TA-RO	5
381	E-KE-ME-DE	5
382	O-NU	5
383	RI-NO	5
384	MI-RA	5
385	PA-WE-A2	5
386	U-RA-JO	5
387	KE-RE	5
388	RA-JO	5
389	PU-TE	5
