n_anchors,slots,lineages,abs_recovery,rel_recovery,eq_reduction,residual_ambiguity_log10,heldout_word_recovery,fp_rate,recovered_frac,n_independent
6,1,5,0.1623,1.0,6.8153,18.0534,0.0266,0.0,0.1623,5.0
6,2,1,0.0496,1.0,3.8043,20.326,0.0037,0.0,0.0496,1.0
6,2,2,0.1428,1.0,6.4757,18.1207,0.0226,0.0,0.1428,2.0
6,2,3,0.2339,1.0,8.4877,15.8552,0.0525,0.0,0.2339,3.0
6,2,5,0.3691,1.0,10.6745,13.2042,0.1412,0.0,0.3691,5.0
6,4,1,0.1392,1.0,6.6124,17.4159,0.0148,0.0,0.1392,1.0
6,4,2,0.3169,1.0,10.0802,14.0872,0.0917,0.0,0.3169,2.0
6,4,3,0.4445,1.0,12.4391,11.924,0.2208,0.0,0.4445,3.0
6,4,5,0.6117,1.0,14.8864,9.4259,0.4477,0.0,0.6117,5.0
6,8,1,0.329,1.0,10.8954,13.7934,0.0582,0.0,0.329,1.0
6,8,2,0.6117,1.0,15.7552,7.9013,0.2936,0.0,0.6117,2.0
6,8,3,0.7439,0.9998,18.2764,5.6252,0.5225,0.0,0.7439,3.0
6,8,5,0.8494,1.0,21.4525,3.5184,0.7336,0.0,0.8494,5.0
8,1,1,0.0152,1.0,2.0594,22.4932,0.0,0.0,0.0152,1.0
8,1,2,0.0462,1.0,3.6426,20.321,0.0017,0.0,0.0462,2.0
8,1,3,0.0911,1.0,5.0418,18.776,0.0066,0.0,0.0911,3.0
8,1,5,0.1657,1.0,7.0171,17.0947,0.025,0.0,0.1657,5.0
8,2,1,0.0464,1.0,3.7467,21.1084,0.003,0.0,0.0464,1.0
8,2,2,0.1277,1.0,6.2427,18.1562,0.0144,0.0,0.1277,2.0
8,2,3,0.2148,1.0,8.1965,16.6222,0.046,0.0,0.2148,3.0
8,2,5,0.3701,1.0,10.7239,13.8165,0.1398,0.0,0.3701,5.0
8,4,1,0.1439,1.0,6.7705,17.7092,0.0159,0.0,0.1439,1.0
8,4,2,0.3176,1.0,10.1465,13.8214,0.0953,0.0,0.3176,2.0
8,4,3,0.447,1.0,12.2378,11.8001,0.2165,0.0,0.447,3.0
8,4,5,0.6123,1.0,14.9006,9.3095,0.4668,0.0,0.6123,5.0
8,8,1,0.3182,1.0,10.5633,13.7397,0.0671,0.0,0.3182,1.0
8,8,2,0.5884,1.0,15.676,8.7014,0.2657,0.0,0.5884,2.0
8,8,3,0.7282,0.9998,18.4712,6.3997,0.5051,0.0,0.7282,3.0
8,8,5,0.8708,1.0,21.319,2.883,0.7675,0.0,0.8708,5.0
10,1,1,0.0152,1.0,2.0633,22.8646,0.0,0.0,0.0152,1.0
10,1,2,0.0443,1.0,3.6417,21.0755,0.0011,0.0,0.0443,2.0
10,1,3,0.0888,1.0,4.9343,19.1515,0.0056,0.0,0.0888,3.0
10,1,5,0.172,1.0,6.8498,16.9676,0.0257,0.0,0.172,5.0
10,2,1,0.0479,1.0,3.777,20.3295,0.0028,0.0,0.0479,1.0
10,2,2,0.1453,1.0,6.5203,17.642,0.0191,0.0,0.1453,2.0
10,2,3,0.2199,1.0,8.1292,16.6301,0.0451,0.0,0.2199,3.0
10,2,5,0.3777,1.0,10.9485,13.6303,0.1413,0.0,0.3777,5.0
10,4,1,0.1377,1.0,6.5173,17.7779,0.0142,0.0,0.1377,1.0
10,4,2,0.3114,0.9998,10.2846,14.4896,0.0807,0.0,0.3114,2.0
10,4,3,0.4487,1.0,12.4068,12.0729,0.2153,0.0,0.4487,3.0
10,4,5,0.6095,1.0,14.9633,9.3661,0.4493,0.0,0.6095,5.0
10,8,1,0.3496,1.0,11.1305,13.3212,0.066,0.0,0.3496,1.0
10,8,2,0.5972,1.0,15.9549,8.6474,0.2848,0.0,0.5972,2.0
10,8,3,0.7708,1.0,18.5384,4.9633,0.5538,0.0,0.7708,3.0
10,8,5,0.8655,1.0,21.3824,2.8769,0.7564,0.0,0.8655,5.0
