hash,basename,experiment_dir,canonical,n_locations,ext
a3e3ff05b29e16cc,sweep_scan.py,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/sweep_scan.py,12,py
0d546ec7d4e05705,frozen_hashes_before.json,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/frozen_hashes_before.json,12,json
09a9f094efe78b9a,scan_summary.json,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/scan_summary.json,1,json
b94be9e2f9ee9d09,diff_summary.json,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/diff_summary.json,12,json
c5fbe611062ce7a7,SWEEP_DELTA.md,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/SWEEP_DELTA.md,12,md
500dfa1b6d0ea3e4,missing_items.csv,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/missing_items.csv,12,csv
7d2592e0f7dcdeed,corpus_inventory.csv,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/corpus_inventory.csv,12,csv
4c960d7aaac336a7,published_record_checklist.csv,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/published_record_checklist.csv,12,csv
791cdd2810adde56,checklist_notes.md,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/checklist_notes.md,12,md
5352229b04bc0760,younger.csv,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/fragments/younger.csv,12,csv
3861b3bb71d57e59,delfreo.csv,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/fragments/delfreo.csv,12,csv
e4f92aa52c591764,sigla.csv,crossscript_gate,logos:experiments/crossscript_gate/phase3/sweep/fragments/sigla.csv,12,csv
fc5cb57655c0d332,power_precheck.json,crossscript_gate,logos:experiments/crossscript_gate/results/power_precheck.json,12,json
dc2963d14485f00a,phase1_power.json,crossscript_gate,logos:experiments/crossscript_gate/results/phase1_power.json,12,json
d03a79b08054d7be,oneshot_gate.json,crossscript_gate,logos:experiments/crossscript_gate/results/oneshot_gate.json,12,json
962f0b0e4fd8faf5,power_precheck_phase05.json,crossscript_gate,logos:experiments/crossscript_gate/results/power_precheck_phase05.json,12,json
41a48f487050eddd,SELECTION_RULE.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/SELECTION_RULE.md,12,md
c834a0b56473053c,p2_select_certify.py,crossscript_gate,logos:experiments/crossscript_gate/phase2/p2_select_certify.py,12,py
0e944f10411f3e6e,P2_CERTIFICATION.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/P2_CERTIFICATION.md,12,md
f8be0d8f1e1a0dca,PHASE2_RESULTS_DOI.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/PHASE2_RESULTS_DOI.md,12,md
6dd0d49f279289b0,anchor_census.csv,crossscript_gate,logos:experiments/crossscript_gate/phase2/anchor_census.csv,12,csv
cd111bcb87571f71,quota_sweep.py,crossscript_gate,logos:experiments/crossscript_gate/phase2/quota_sweep.py,12,py
1fce8401f5efedeb,PREREG_FINAL_P2.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/PREREG_FINAL_P2.md,12,md
19d8d6d96fd60f72,QUOTA_RESULT.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/QUOTA_RESULT.md,12,md
d1f7d997d95b822f,GAP_ANALYSIS.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/GAP_ANALYSIS.md,12,md
4a73260346d8ea8e,SWEEP_SPEC.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/SWEEP_SPEC.md,12,md
3b201300bacd1351,CENSUS.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/CENSUS.md,12,md
1c4cd46a0f0cd89e,SELECTED_ANCHORS.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/SELECTED_ANCHORS.md,12,md
c13fd668480d4800,PREREG_P2_TIMESTAMP.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/PREREG_P2_TIMESTAMP.md,12,md
8e749f69ff56e4b8,PHASE2_REPORT.md,crossscript_gate,logos:experiments/crossscript_gate/phase2/PHASE2_REPORT.md,12,md
5afbf98f21073ecf,gap_analysis.py,crossscript_gate,logos:experiments/crossscript_gate/phase2/gap_analysis.py,12,py
5eeb07b335f090d1,p2_oneshot.py,crossscript_gate,logos:experiments/crossscript_gate/phase2/p2_oneshot.py,12,py
02f362c73334f2ba,p2_select_certify.cpython-311.pyc,crossscript_gate,logos:experiments/crossscript_gate/phase2/__pycache__/p2_select_certify.cpython-311.pyc,1,pyc
ef45a59ae90b0a71,quota_sweep.cpython-311.pyc,crossscript_gate,logos:experiments/crossscript_gate/phase2/__pycache__/quota_sweep.cpython-311.pyc,1,pyc
35de9b23695e8680,p2_certification.json,crossscript_gate,logos:experiments/crossscript_gate/phase2/results/p2_certification.json,12,json
225ef5caae5e2a3e,selected_anchors.json,crossscript_gate,logos:experiments/crossscript_gate/phase2/results/selected_anchors.json,12,json
d7de7fc194e064a8,gap_analysis.json,crossscript_gate,logos:experiments/crossscript_gate/phase2/results/gap_analysis.json,12,json
4e8136826ce23157,p2_oneshot_gate.json,crossscript_gate,logos:experiments/crossscript_gate/phase2/results/p2_oneshot_gate.json,12,json
7ea7b96c35f8265b,phase2_quota_sweep.json,crossscript_gate,logos:experiments/crossscript_gate/phase2/results/phase2_quota_sweep.json,12,json
b2be8f0297b447ab,FINDINGS.md,schema_induction,logos:experiments/schema_induction/FINDINGS.md,12,md
9241f87a629211fd,reconcile.py,schema_induction,logos:experiments/schema_induction/reconcile.py,12,py
5e32ef784ddb1936,reconcile_results.json,schema_induction,logos:experiments/schema_induction/reconcile_results.json,12,json
cbf733ee91ff256c,sensitivity_results.json,representation_audit,logos:experiments/representation_audit/sensitivity_results.json,12,json
6d09bd3b948b4e77,sensitivity.py,representation_audit,logos:experiments/representation_audit/sensitivity.py,12,py
38eab4a06bdb1423,FINDINGS.md,representation_audit,logos:experiments/representation_audit/FINDINGS.md,12,md
9e9b62b1d07e8d81,models_neural.py,segmentation_extension,logos:experiments/segmentation_extension/models_neural.py,12,py
82114c997128e519,harness.py,segmentation_extension,logos:experiments/segmentation_extension/harness.py,12,py
57c943f70e9321ec,PREREG.md,segmentation_extension,logos:experiments/segmentation_extension/PREREG.md,12,md
29629103aea07d94,GATE_RESULTS.md,segmentation_extension,logos:experiments/segmentation_extension/GATE_RESULTS.md,12,md
cc47f821a04cc968,models_pyp.py,segmentation_extension,logos:experiments/segmentation_extension/models_pyp.py,12,py
610333cf34b65815,models_morfessor.py,segmentation_extension,logos:experiments/segmentation_extension/models_morfessor.py,12,py
872213e130cc94a7,run_models.py,segmentation_extension,logos:experiments/segmentation_extension/run_models.py,12,py
8ad1da09be0196b3,frozen_metric.py,segmentation_extension,logos:experiments/segmentation_extension/frozen_metric.py,12,py
04871f4ef2a7a6d4,run_gates.py,segmentation_extension,logos:experiments/segmentation_extension/run_gates.py,12,py
19ff977218c9efad,models_diagnostics.json,segmentation_extension,logos:experiments/segmentation_extension/results/models_diagnostics.json,12,json
b2da96acf1ad3f1a,loso_baseline_counts.json,segmentation_extension,logos:experiments/segmentation_extension/results/loso_baseline_counts.json,12,json
009900d0896775f9,models_loso_counts.json,segmentation_extension,logos:experiments/segmentation_extension/results/models_loso_counts.json,12,json
8c271bd55aac228e,run_models.log,segmentation_extension,logos:experiments/segmentation_extension/results/run_models.log,12,log
20c5d7fa12360a74,gate_results.json,segmentation_extension,logos:experiments/segmentation_extension/results/gate_results.json,12,json
543e40673ecbae81,models_summary.json,segmentation_extension,logos:experiments/segmentation_extension/results/models_summary.json,12,json
3a59cd7b04c7facb,run_models.cpython-311.pyc,segmentation_extension,logos:experiments/segmentation_extension/__pycache__/run_models.cpython-311.pyc,1,pyc
4cb039cb3346bd9f,frozen_metric.cpython-311.pyc,segmentation_extension,logos:experiments/segmentation_extension/__pycache__/frozen_metric.cpython-311.pyc,1,pyc
c7913f3b492f049a,models_morfessor.cpython-311.pyc,segmentation_extension,logos:experiments/segmentation_extension/__pycache__/models_morfessor.cpython-311.pyc,1,pyc
1b3dbfc10379f7c7,models_pyp.cpython-311.pyc,segmentation_extension,logos:experiments/segmentation_extension/__pycache__/models_pyp.cpython-311.pyc,1,pyc
bc26a2de970f22c3,models_neural.cpython-311.pyc,segmentation_extension,logos:experiments/segmentation_extension/__pycache__/models_neural.cpython-311.pyc,1,pyc
780bdb50f7b26a6f,harness.cpython-311.pyc,segmentation_extension,logos:experiments/segmentation_extension/__pycache__/harness.cpython-311.pyc,1,pyc
7902a304552fccff,FINDINGS.md,schema_recon,logos:experiments/schema_recon/FINDINGS.md,12,md
bc87dcb8bbde1196,power_precheck.cpython-311.pyc,crossscript_gate,logos-linear-a-constraint-expansion:experiments/crossscript_gate/__pycache__/power_precheck.cpython-311.pyc,1,pyc
e4bf70b02532e263,DECISION_LOG.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/DECISION_LOG.md,1,md
02dd21b819d9f23b,STATUS.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/STATUS.md,1,md
c849c1d8c76bdd30,d4_accounting_closure.py,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/d4_accounting_closure.py,1,py
1d662728f9a8984d,CAMPAIGN.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/CAMPAIGN.md,1,md
603769312bc33ae7,LICENCE_STATE.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/LICENCE_STATE.json,1,json
b4611346375c57e5,SOURCE_REGISTER.csv,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/SOURCE_REGISTER.csv,1,csv
172e6cb4a51ab073,SEARCH_RECEIPT.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/SEARCH_RECEIPT.json,1,json
233b0f5a8a19eec4,ASSUMPTION_REGISTER.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/ASSUMPTION_REGISTER.json,1,json
