site,n_adj,n_word_first,n_num_first,p_wordfirst,pairflip_p,binom_p,sig
Haghia Triada,692,686,6,0.9913294797687862,0.0,1.4653525082386637e-194,True
Khania,80,76,4,0.95,0.0,2.757788729388439e-18,True
Malia,25,25,0,1.0,0.0,5.96046447753906e-08,True
Phaistos,30,29,1,0.9666666666666667,0.0,5.774199962616064e-08,True
Palaikastro,18,18,0,1.0,0.0,7.629394531250002e-06,True
Tylissos,28,28,0,1.0,0.0,7.450580596923836e-09,True
Zakros,117,114,3,0.9743589743589743,0.0,3.214304854809196e-30,True
Arkhalkhori,27,27,0,1.0,0.0,1.4901161193847648e-08,True
